259 AS_Roma_ Real_Madrid_CF_ 1 1
260 Liverpool_FC_ Internazionale_ 1 2
261 Fenerbahçe_İstanbul_SK_ Sevilla_FC_ 1 1
262 FC_Barcelona_ Celtic_FC_ 1 1
263 Sevilla_FC_ Fenerbahçe_İstanbul_SK_ 1 1
264 Arsenal_FC_ AC_Milan_ 1 2
265 Manchester_United_FC_ Olympique_Lyon_ 1 1
266 FC_Barcelona_ Celtic_FC_ 1 1
267 FC_Porto_ FC_Schalke_04_ 1 1
268 AS_Roma_ Real_Madrid_CF_ 1 1
269 Chelsea_FC_ Olympiacos_ 1 3
270 Liverpool_FC_ Internazionale_ 1 1
271 FC_Barcelona_ FC_Schalke_04_ 1 1
272 Manchester_United_FC_ AS_Roma_ 1 2
273 Fenerbahçe_İstanbul_SK_ Chelsea_FC_ 1 1
274 Chelsea_FC_ Fenerbahçe_İstanbul_SK_ 1 2
275 Liverpool_FC_ Arsenal_FC_ 1 2
276 Manchester_United_FC_ AS_Roma_ 1 1
277 FC_Barcelona_ FC_Schalke_04_ 1 1
278 Manchester_United_FC_ FC_Barcelona_ 1 1
279 Chelsea_FC_ Girondins_Bordeaux_ 1 4
280 CFR_Cluj_ AS_Roma_ 1 1
281 Internazionale_ Panathinaikos_FC_ 1 2
282 Shakhtar_Donetsk_ Basel_ 1 1
283 FC_Barcelona_ Sporting_CP_ 1 2
284 Liverpool_FC_ Olympique_Marseille_ 1 1
285 Atletico_Madrid_ PSV_Eindhoven_ 1 3
286 Bayern_München_ Steaua_Bucuresti_ 1 1
287 FC_Porto_ Fenerbahçe_İstanbul_SK_ 1 2
288 Juventus_ Zenit_St._Petersburg_ 1 1
289 Real_Madrid_CF_ BATE_Borisov_ 1 2
290 Manchester_United_FC_ Aalborg_BK_ 1 3
291 Villarreal_CF_ Celtic_FC_ 1 1
292 Arsenal_FC_ FC_Porto_ 1 4
293 Real_Madrid_CF_ Zenit_St._Petersburg_ 1 1
294 AS_Roma_ Girondins_Bordeaux_ 1 2
295 Anorthosis_Famagusta_ Panathinaikos_FC_ 1 2
296 FC_Barcelona_ Shakhtar_Donetsk_ 1 1
297 Sporting_CP_ Basel_ 1 2
298 Atletico_Madrid_ Olympique_Marseille_ 1 1
299 Liverpool_FC_ PSV_Eindhoven_ 1 2
300 Manchester_United_FC_ Celtic_FC_ 1 3
301 Villarreal_CF_ Aalborg_BK_ 1 3
302 Olympique_Lyon_ Steaua_Bucuresti_ 1 2
303 Bayern_München_ ACF_Fiorentina_ 1 3
304 Arsenal_FC_ Fenerbahçe_İstanbul_SK_ 1 3
305 Dinamo_Kiev_ FC_Porto_ 1 1
306 Juventus_ Real_Madrid_CF_ 1 1
307 Chelsea_FC_ AS_Roma_ 1 1
308 Girondins_Bordeaux_ CFR_Cluj_ 1 1
309 Internazionale_ Anorthosis_Famagusta_ 1 1
310 FC_Barcelona_ Basel_ 1 5
311 Sporting_CP_ Shakhtar_Donetsk_ 1 1
312 PSV_Eindhoven_ Olympique_Marseille_ 1 2
313 AS_Roma_ Chelsea_FC_ 1 2
314 Girondins_Bordeaux_ CFR_Cluj_ 1 1
315 Panathinaikos_FC_ Werder_Bremen_ 1 3
316 Sporting_CP_ Shakhtar_Donetsk_ 1 1
317 Olympique_Marseille_ PSV_Eindhoven_ 1 3
318 Olympique_Lyon_ Steaua_Bucuresti_ 1 2
319 FC_Porto_ Dinamo_Kiev_ 1 1
320 Juventus_ Real_Madrid_CF_ 1 2
321 Zenit_St._Petersburg_ BATE_Borisov_ 1 2
322 Aalborg_BK_ Celtic_FC_ 1 1
323 Olympique_Lyon_ ACF_Fiorentina_ 1 1
324 Bayern_München_ Steaua_Bucuresti_ 1 3
325 Arsenal_FC_ Dinamo_Kiev_ 1 1
326 FC_Porto_ Fenerbahçe_İstanbul_SK_ 1 1
327 Real_Madrid_CF_ BATE_Borisov_ 1 1
328 AS_Roma_ CFR_Cluj_ 1 2
329 Panathinaikos_FC_ Internazionale_ 1 1
330 FC_Barcelona_ Sporting_CP_ 1 3
331 Shakhtar_Donetsk_ Basel_ 1 5
332 Atletico_Madrid_ PSV_Eindhoven_ 1 1
333 Liverpool_FC_ Olympique_Marseille_ 1 1
334 AS_Roma_ Girondins_Bordeaux_ 1 2
335 Chelsea_FC_ CFR_Cluj_ 1 1
336 Panathinaikos_FC_ Anorthosis_Famagusta_ 1 1
337 Werder_Bremen_ Internazionale_ 1 1
338 Sporting_CP_ Basel_ 1 1
339 Shakhtar_Donetsk_ FC_Barcelona_ 1 1
340 Liverpool_FC_ PSV_Eindhoven_ 1 2
341 Celtic_FC_ Villarreal_CF_ 1 2
342 Bayern_München_ Olympique_Lyon_ 1 1
343 ACF_Fiorentina_ Steaua_Bucuresti_ 1 1
344 Dinamo_Kiev_ Fenerbahçe_İstanbul_SK_ 1 1
345 FC_Porto_ Arsenal_FC_ 1 2
346 Real_Madrid_CF_ Zenit_St._Petersburg_ 1 3
347 Arsenal_FC_ AS_Roma_ 1 1
348 Bayern_München_ Sporting_CP_ 1 5
349 Chelsea_FC_ Juventus_ 1 1
350 Liverpool_FC_ Real_Madrid_CF_ 1 1
351 Bayern_München_ Sporting_CP_ 1 6
352 Villarreal_CF_ Panathinaikos_FC_ 1 1
353 Liverpool_FC_ Real_Madrid_CF_ 1 4
354 AS_Roma_ Arsenal_FC_ 1 1
355 Manchester_United_FC_ Internazionale_ 1 2
356 FC_Barcelona_ Olympique_Lyon_ 1 3
357 FC_Barcelona_ Bayern_München_ 1 4
358 Chelsea_FC_ Liverpool_FC_ 1 2
359 Arsenal_FC_ Villarreal_CF_ 1 3
360 Manchester_United_FC_ FC_Porto_ 1 1
361 Manchester_United_FC_ Arsenal_FC_ 1 1
362 Manchester_United_FC_ Arsenal_FC_ 1 2
363 FC_Barcelona_ Manchester_United_FC_ 1 2
364 Bayern_München_ Maccabi_Haifa_ 1 3
365 VfL_Wolfsburg_ CSKA_Moskva_ 1 2
366 Manchester_United_FC_ Beşiktaş_İstanbul_JK_ 1 1
367 AC_Milan_ Olympique_Marseille_ 1 1
368 Real_Madrid_CF_ FC_Zurich_ 1 3
369 Chelsea_FC_ FC_Porto_ 1 1
370 Olympique_Lyon_ ACF_Fiorentina_ 1 1
371 Liverpool_FC_ Debreceni_VSC_ 1 1
372 Dinamo_Kiev_ Rubin_Kazan_ 1 2
373 Sevilla_FC_ Unirea_Urziceni_ 1 2
374 Arsenal_FC_ Standard_Liege_ 1 1
375 Olympiacos_ AZ_Alkmaar_ 1 1
376 ACF_Fiorentina_ Liverpool_FC_ 1 2
377 Olympique_Lyon_ Debreceni_VSC_ 1 4
